PUNTO;A 2023_0089 1;A 2024_0092 3;A 2024_0098 3;A 2024_0116 3;A 2024_0079 3;A 2024_0105 3;B 2023_0089 23;B 2024_0092 19;B 2024_0098 19;B 2024_0116 19;B 2024_0079 19;B 2024_0105 19;C 2023_0089 25;C 2024_0092 26;C 2024_0098 26;C 2024_0116 26;C 2024_0079 26;C 2024_0105 26;D 2023_0089 26;D 2024_0092 27;D 2024_0098 27;D 2024_0116 27;D 2024_0079 27;D 2024_0105 27;E 2023_0089 43;E 2024_0092 41;E 2024_0098 41;E 2024_0116 41;E 2024_0079 41;E 2024_0105 41;F 2023_0089 50;F 2024_0092 50;F 2024_0098 50;F 2024_0116 50;F 2024_0079 50;F 2024_0105 50;G 2023_0089 64;G 2024_0092 64;G 2024_0098 64;G 2024_0116 64;G 2024_0079 64;G 2024_0105 64;H 2023_0089 43;H 2024_0092 41;H 2024_0098 41;H 2024_0116 41;H 2024_0079 41;H 2024_0105 41;I 2023_0089 45;I 2024_0092 47;I 2024_0098 47;I 2024_0116 47;I 2024_0079 46;I 2024_0105 47;J 2023_0089 46;J 2024_0092 48;J 2024_0098 48;J 2024_0116 48;J 2024_0079 47;J 2024_0105 48;
394;-377.52;-250.96;-308.08;-280.94;-287.7;-261.22;-449.58;-275.21;-335.14;-386.81;-376.88;-338.86;-410.52;-239.81;-292;-272.31;-217.57;-279.61;-409.36;-238.24;-260.44;-307.6;-94.92;-198.01;-383.73;-309.83;-279.66;-332.04;-260.38;-287.21;-384.08;-194.63;-197.3;-285.41;-182.03;-215.07;-367.28;-220.95;-218.4;-293.47;-135.12;-230.09;-383.73;-309.83;-279.66;-332.04;-260.38;-287.21;-398.25;-256.02;-267.81;-277.45;-332.15;-244.98;-333.86;-299.55;-258.64;-339.92;-219.08;-333.79;
395;-377.48;-251.09;-308.75;-280.85;-287.33;-260.97;-449.54;-275.55;-334.98;-387.1;-376.25;-338.77;-410.56;-239.39;-291.83;-272.1;-216.86;-279.61;-409.48;-237.86;-260.27;-307.23;-94.54;-199.88;-383.65;-309.63;-279.62;-331.87;-259.84;-287.21;-383.99;-194.42;-197.21;-285.16;-181.94;-214.99;-367.32;-220.74;-218.32;-293.47;-135.2;-230.09;-383.65;-309.63;-279.62;-331.87;-259.84;-287.21;-398.25;-255.86;-267.61;-277.24;-331.7;-244.94;-333.78;-299.22;-257.93;-340.21;-218.46;-332.96;
396;-377.44;-251.54;-309.08;-280.56;-287.12;-260.88;-449.54;-275.84;-334.85;-387.02;-376.04;-338.98;-410.6;-239.52;-291.54;-271.85;-216.49;-279.61;-409.4;-237.82;-260.15;-306.85;-94.38;-198.34;-383.65;-309.58;-279.41;-331.58;-259.42;-287.17;-384.08;-194.67;-196.92;-284.99;-181.78;-215.49;-367.41;-221.62;-218.03;-293.38;-135.33;-230.09;-383.65;-309.58;-279.41;-331.58;-259.42;-287.17;-398.29;-256.32;-267.36;-276.99;-331.44;-244.86;-333.7;-299.05;-257.35;-340.04;-217.87;-333.29;
397;-377.35;-251.75;-308;-280.44;-286.79;-260.76;-449.46;-277.01;-334.77;-387.1;-375.46;-338.27;-410.56;-239.89;-291.29;-271.64;-215.9;-279.53;-409.44;-238.36;-259.94;-306.6;-94.09;-197.46;-383.57;-309.88;-279.37;-331.37;-258.83;-287.17;-384.03;-195.29;-196.71;-284.78;-181.69;-215.78;-367.53;-222.41;-217.94;-293.3;-135.45;-230.21;-383.57;-309.88;-279.37;-331.37;-258.83;-287.17;-398.17;-257.06;-267.19;-276.91;-331.11;-244.86;-333.7;-298.42;-256.76;-340.04;-217.21;-334.12;
398;-377.31;-252.13;-308.25;-280.19;-286.5;-260.8;-449.38;-276.55;-334.56;-386.94;-374.87;-338.73;-410.56;-240.56;-291.25;-271.43;-215.32;-279.49;-409.44;-238.78;-259.73;-306.35;-93.75;-196.96;-383.69;-310.25;-279.2;-331.2;-258.42;-287.21;-384.08;-196.17;-196.46;-284.57;-181.53;-216.24;-367.53;-223.33;-217.82;-293.3;-135.58;-230.25;-383.69;-310.25;-279.2;-331.2;-258.42;-287.21;-398.25;-257.98;-266.94;-276.86;-330.9;-244.82;-333.66;-298.51;-257.1;-340.04;-216.84;-334.58;
399;-377.23;-252.29;-307.84;-280.06;-286.21;-260.55;-449.38;-278.63;-334.31;-387.06;-374.29;-338.52;-410.52;-240.94;-291.17;-271.35;-214.82;-279.4;-409.4;-238.95;-259.56;-305.89;-93.46;-200.01;-383.57;-310.59;-279.28;-331.12;-258;-287.13;-384.12;-196.5;-196.25;-284.53;-181.57;-216.45;-367.61;-223.78;-217.73;-293.26;-135.87;-230.42;-383.57;-310.59;-279.28;-331.12;-258;-287.13;-398.13;-258.31;-266.78;-276.62;-330.49;-244.82;-333.53;-298.72;-257.1;-339.84;-216.13;-334.54;
400;-377.27;-252.58;-307.5;-279.98;-286.04;-260.51;-449.38;-278.93;-334.06;-387.27;-373.96;-339.02;-410.52;-241.31;-290.87;-271.22;-214.15;-279.32;-409.28;-239.28;-259.48;-305.68;-93.25;-199.55;-383.44;-311.04;-279.03;-330.83;-257.67;-287.21;-384.08;-197.05;-196.09;-284.24;-181.57;-216.82;-367.66;-224.2;-217.73;-293.17;-136.12;-230.42;-383.44;-311.04;-279.03;-330.83;-257.67;-287.21;-398.08;-258.89;-266.53;-276.45;-330.32;-244.78;-333.61;-299.72;-256.8;-340.34;-215.63;-334.33;
401;-377.23;-252.75;-307.54;-279.86;-285.75;-260.39;-449.33;-278.59;-334.02;-387.98;-373.62;-338.36;-410.56;-241.56;-290.71;-270.93;-214.03;-279.4;-409.4;-239.37;-259.4;-305.47;-93.29;-198.51;-383.31;-311.13;-279.08;-330.62;-257.33;-287.13;-384.08;-197.42;-196.09;-284.2;-181.78;-217.07;-367.78;-224.54;-217.78;-293.22;-136.91;-230.5;-383.31;-311.13;-279.08;-330.62;-257.33;-287.13;-398.13;-259.22;-266.32;-276.37;-330.15;-244.73;-333.57;-299.72;-256.8;-340.04;-215.26;-334.08;
402;-377.1;-253.04;-307.25;-279.77;-285.83;-260.39;-449.38;-279.26;-333.85;-388.02;-373.62;-337.86;-410.56;-241.77;-290.67;-270.93;-214.44;-279.32;-409.4;-239.57;-259.4;-305.01;-93.83;-195.92;-383.4;-311.55;-278.91;-330.49;-257.67;-287.26;-384.03;-197.71;-195.96;-283.95;-182.44;-217.32;-367.86;-224.99;-217.86;-293.05;-138.04;-230.5;-383.4;-311.55;-278.91;-330.49;-257.67;-287.26;-398;-259.72;-266.15;-276.32;-330.53;-244.78;-333.61;-300.22;-257.39;-339.34;-215.51;-334.83;
403;-377.14;-253.25;-307.34;-279.69;-286.25;-260.3;-449.38;-279.26;-333.72;-388.23;-373.96;-338.86;-410.56;-242.19;-290.58;-270.77;-215.4;-279.23;-409.36;-239.7;-259.36;-304.93;-94.21;-195.58;-383.31;-311.71;-278.91;-329.91;-258.25;-287.21;-384.12;-198.01;-195.84;-283.91;-183.57;-217.53;-367.99;-225.2;-218.03;-293.13;-139.5;-230.63;-383.31;-311.71;-278.91;-329.91;-258.25;-287.21;-398.08;-260.01;-266.07;-276.2;-331.24;-244.86;-333.49;-300.63;-256.85;-340.38;-216.17;-335.21;
