PUNTO;A 2023_0089 1;A 2024_0092 3;A 2024_0098 3;A 2024_0116 3;A 2024_0079 3;A 2024_0105 3;B 2023_0089 23;B 2024_0092 19;B 2024_0098 19;B 2024_0116 19;B 2024_0079 19;B 2024_0105 19;C 2023_0089 25;C 2024_0092 26;C 2024_0098 26;C 2024_0116 26;C 2024_0079 26;C 2024_0105 26;D 2023_0089 26;D 2024_0092 27;D 2024_0098 27;D 2024_0116 27;D 2024_0079 27;D 2024_0105 27;E 2023_0089 43;E 2024_0092 41;E 2024_0098 41;E 2024_0116 41;E 2024_0079 41;E 2024_0105 41;F 2023_0089 50;F 2024_0092 50;F 2024_0098 50;F 2024_0116 50;F 2024_0079 50;F 2024_0105 50;G 2023_0089 64;G 2024_0092 64;G 2024_0098 64;G 2024_0116 64;G 2024_0079 64;G 2024_0105 64;H 2023_0089 43;H 2024_0092 41;H 2024_0098 41;H 2024_0116 41;H 2024_0079 41;H 2024_0105 41;I 2023_0089 45;I 2024_0092 47;I 2024_0098 47;I 2024_0116 47;I 2024_0079 46;I 2024_0105 47;J 2023_0089 46;J 2024_0092 48;J 2024_0098 48;J 2024_0116 48;J 2024_0079 47;J 2024_0105 48;
238;1.84;3.58;2.98;2.16;1.74;2.66;1.26;3.34;2.84;0.6;0.66;1.42;2.52;3.26;4.34;2.6;3.5;2.58;1.5;2.34;2.92;1.66;2.68;12.86;1.82;2.6;3;0.58;1.58;2.76;-0.24;4.42;4;2.08;2.58;4.34;1.42;3.02;4.84;1.76;1.42;3.42;1.82;2.6;3;0.58;1.58;2.76;1.68;3.64;2.9;2.26;1.18;1.98;2;2.92;4.08;1.84;2.74;1.26;
239;1.26;2.56;2.42;1.74;2.84;2.16;0.92;0.82;1.5;1.92;1.42;2.1;1.68;2.32;2.32;1.58;4.84;2.08;1;2;2.5;1.42;1.92;0.16;1.18;1.92;2.16;0.82;2.5;1.74;0.16;3.08;3.34;1.68;3.68;3;0.92;2.32;3.26;1.34;3.5;2.26;1.18;1.92;2.16;0.82;2.5;1.74;1;2.66;2.08;1.74;2;1.42;1.26;3.16;1.34;3.08;3.9;2.26;
240;1.66;3.32;3.4;2.48;1.9;3.32;1;3.44;2.34;-0.18;1.68;1.32;1.34;3.42;3.6;2.84;3.84;2.6;1.84;2.76;3.26;2.18;1.5;0.5;1.76;2.58;2.92;0.76;1.6;3.1;0.08;4.26;3.92;2.16;2.42;4.34;1.68;3.44;4.34;1.84;2.08;3.24;1.76;2.58;2.92;0.76;1.6;3.1;1.42;3.32;2.9;2.24;1.58;2.08;2.16;1.92;5;0.5;2.66;1.5;
241;1.34;2.24;6.98;1.58;3.08;2.16;0.82;1.58;1.84;0.84;2.32;2.52;0.84;2.26;2.66;2;5.1;2.08;1;2.26;2.24;1.5;1.84;5.1;1.16;1.76;2.1;1.58;2.32;2.08;0.6;2.92;3.02;1.66;3.92;3.58;1;0.58;3.24;1.4;3.26;2.42;1.16;1.76;2.1;1.58;2.32;2.08;1.26;3.16;2.32;1.58;2.34;1.66;1.42;1.1;2;1.74;3.9;2.82;
242;1.34;10.14;0.24;2.16;1.98;2.66;0.76;2.16;2.42;1.42;1.26;2;0.34;3.26;3.68;2.58;2.84;2.66;1.16;2.58;3.34;2.16;0.82;-0.42;1.66;2.66;2.76;1.6;1.18;2.76;0.5;4.08;4.16;2.42;2.5;4.18;1.16;0.16;3.92;2.02;2.26;3.1;1.66;2.66;2.76;1.6;1.18;2.76;1.32;3.4;2.82;2.24;1.58;2.4;1.92;1.74;4.68;1.34;2.58;2.42;
243;1.16;-1.08;1.34;1.84;2.58;1.9;0.66;3.18;1.68;1.92;1.76;0.32;0.84;2.58;2.66;1.92;4.58;1.92;1;1.58;2.26;1.5;3.44;-0.16;1.02;2.02;2.32;1.42;1.92;2.08;0.5;2.6;3;1.68;3.58;3.16;0.76;1.92;3.1;1.16;3;2.24;1.02;2.02;2.32;1.42;1.92;2.08;1.26;2.08;2.26;1.48;3.1;1.5;1.34;1.84;2.92;0.58;3.82;0.34;
244;1.42;0.74;2.48;2.06;1.58;0.5;0.84;2.16;2.5;-0.76;0.74;1.6;1.02;3.42;3.34;2.68;3.42;2.6;1.42;2;2.92;1.84;2.16;2;1.5;2.66;2.68;3.16;1.34;2.84;0.92;3.84;4.26;2.34;2.42;4.26;1.42;2.76;4.16;1.76;1.84;3.1;1.5;2.66;2.68;3.16;1.34;2.84;1.5;3.16;2.98;2.5;2.16;1.9;2.16;1.58;3.84;3.92;2.74;5.84;
245;0.92;1.5;8.06;1.42;2.58;0.42;0.66;2.84;2;0.6;1.84;1.34;0.58;2.34;2.5;1.84;4.76;2.16;0.58;1.92;2.18;1.68;-0.08;2.42;1.24;1.5;1.58;0.76;1.82;1.58;0.58;2.66;2.92;1.74;3.84;3.26;0.66;2.08;3.34;1.58;3;2.5;1.24;1.5;1.58;0.76;1.82;1.58;0.92;2.32;2.24;1.42;3.08;1.58;1.42;2.18;0.82;0.34;3.98;0.34;
246;1.42;2.16;2.48;2.66;1.74;1;1.18;3.26;3.08;1.24;1.08;1.92;0.92;3.08;3.44;2.74;3.34;2.5;1.34;3.18;2.82;2.08;1.58;1.26;1.26;2.68;2.68;1.42;1.42;2.84;0.74;3.5;4;2.42;2.34;4;1.42;3.18;2.1;1.42;1.92;3;1.26;2.68;2.68;1.42;1.42;2.84;1.34;3.48;3.08;2.24;1.92;2.5;1.5;0.32;3.68;3.58;2.66;1.82;
247;1;1.9;1.16;1.58;2.56;1;0.5;2.26;1.6;2.84;1.6;2.08;1.02;2.34;2.32;2;4.34;1.76;1.26;1.84;1.92;1.58;2.26;4;1;1.58;1.74;1.24;2.1;1.76;0.58;2.26;3.02;1.76;3.58;2.76;0.58;2.24;1.5;1.58;2.34;2.34;1;1.58;1.74;1.24;2.1;1.76;1.16;2.08;2.4;1.66;2.42;1.82;1.26;2.26;2;0.68;3.98;1.34;
